sentence_index,sentence,layer,active_tokens,trajectory_length,mean_step_length,mean_adjacent_step_cosine,median_adjacent_step_cosine,pca_2d_variance_centered
0,Trajectory straightening specifies language prediction.,0,9,44.23279571533203,5.529099464416504,-0.46078816056251526,-0.5302719473838806,0.5716994404792786
0,Trajectory straightening specifies language prediction.,1,9,533.00537109375,66.62567138671875,-0.4256112575531006,-0.4538889527320862,0.9477061629295349
0,Trajectory straightening specifies language prediction.,2,9,1968.21240234375,246.02655029296875,-0.4181373417377472,-0.42437857389450073,0.9975892305374146
0,Trajectory straightening specifies language prediction.,3,9,2116.235107421875,264.5293884277344,-0.37971144914627075,-0.43492355942726135,0.9971387982368469
0,Trajectory straightening specifies language prediction.,4,9,2235.473876953125,279.4342346191406,-0.3540938198566437,-0.38986173272132874,0.9961050152778625
0,Trajectory straightening specifies language prediction.,5,9,2328.817626953125,291.1022033691406,-0.3385896682739258,-0.43616828322410583,0.9940217137336731
0,Trajectory straightening specifies language prediction.,6,9,228.43341064453125,28.554176330566406,-0.43466854095458984,-0.4955485761165619,0.906959593296051
1,The cat sat on the mat.,0,7,29.533153533935547,4.922192096710205,-0.39076337218284607,-0.3744232952594757,0.7382944822311401
1,The cat sat on the mat.,1,7,420.6559753417969,70.10932922363281,-0.37695232033729553,-0.30724936723709106,0.9526010751724243
1,The cat sat on the mat.,2,7,1845.64453125,307.607421875,-0.31280484795570374,-0.3104395568370819,0.9984292984008789
1,The cat sat on the mat.,3,7,1967.081787109375,327.8469543457031,-0.30323511362075806,-0.27551302313804626,0.9979833960533142
1,The cat sat on the mat.,4,7,2079.907470703125,346.6512451171875,-0.26566728949546814,-0.28958237171173096,0.9967663884162903
1,The cat sat on the mat.,5,7,2213.142578125,368.8570861816406,-0.2932533323764801,-0.367497056722641,0.9935370087623596
1,The cat sat on the mat.,6,7,259.9971008300781,43.33285140991211,-0.24025364220142365,-0.48577648401260376,0.8925644159317017
2,Large language models predict the next token.,0,8,36.37625503540039,5.196608066558838,-0.420862078666687,-0.4229278862476349,0.6625723242759705
2,Large language models predict the next token.,1,8,488.9238586425781,69.84626770019531,-0.39688804745674133,-0.42844611406326294,0.9500576853752136
2,Large language models predict the next token.,2,8,1904.10498046875,272.0149841308594,-0.33146151900291443,-0.3697271943092346,0.9978161454200745
2,Large language models predict the next token.,3,8,2043.8729248046875,291.9818420410156,-0.3179735243320465,-0.3361138701438904,0.9973706603050232
2,Large language models predict the next token.,4,8,2161.098876953125,308.7284240722656,-0.28235989809036255,-0.28078439831733704,0.9962712526321411
2,Large language models predict the next token.,5,8,2270.208740234375,324.3155212402344,-0.26647207140922546,-0.3021582365036011,0.993837833404541
2,Large language models predict the next token.,6,8,228.973388671875,32.71048355102539,-0.18948064744472504,-0.269088476896286,0.9130052328109741
3,Geometry organizes predictive representations.,0,7,34.81842803955078,5.80307149887085,-0.4312489628791809,-0.415328711271286,0.6692904233932495
3,Geometry organizes predictive representations.,1,7,438.5954895019531,73.09925079345703,-0.38355138897895813,-0.3310953974723816,0.9560053944587708
3,Geometry organizes predictive representations.,2,7,1863.8040771484375,310.6340026855469,-0.3015384078025818,-0.3133685886859894,0.9983559250831604
3,Geometry organizes predictive representations.,3,7,1997.32861328125,332.8880920410156,-0.32792919874191284,-0.31749096512794495,0.9979665875434875
3,Geometry organizes predictive representations.,4,7,2093.561279296875,348.9268798828125,-0.29220351576805115,-0.29050153493881226,0.9971234798431396
3,Geometry organizes predictive representations.,5,7,2189.23681640625,364.872802734375,-0.30641239881515503,-0.3545176684856415,0.9949746131896973
3,Geometry organizes predictive representations.,6,7,210.5997314453125,35.09995651245117,-0.23958620429039001,-0.378662109375,0.9097814559936523
4,Curvature decreases across transformer depth.,0,8,39.217803955078125,5.602543354034424,-0.44022801518440247,-0.4863317012786865,0.6193520426750183
4,Curvature decreases across transformer depth.,1,8,488.7887268066406,69.82695770263672,-0.4026052951812744,-0.4408625364303589,0.9486546516418457
4,Curvature decreases across transformer depth.,2,8,1908.4129638671875,272.63043212890625,-0.3918093740940094,-0.4013057351112366,0.9978359937667847
4,Curvature decreases across transformer depth.,3,8,2052.670654296875,293.2386779785156,-0.3670583665370941,-0.4031062722206116,0.9973136186599731
4,Curvature decreases across transformer depth.,4,8,2167.579345703125,309.6542053222656,-0.3733644187450409,-0.421932578086853,0.9962165951728821
4,Curvature decreases across transformer depth.,5,8,2271.099853515625,324.4428405761719,-0.33765092492103577,-0.4061011075973511,0.9933801293373108
4,Curvature decreases across transformer depth.,6,8,231.95236206054688,33.136051177978516,-0.28852084279060364,-0.30213046073913574,0.907788097858429
