sentence_index,sentence,token_index,token,clean_token,active
0,Trajectory straightening specifies language prediction.,0,Tra,Tra,1
0,Trajectory straightening specifies language prediction.,1,ject,ject,1
0,Trajectory straightening specifies language prediction.,2,ory,ory,1
0,Trajectory straightening specifies language prediction.,3,Ġstraight, straight,1
0,Trajectory straightening specifies language prediction.,4,ening,ening,1
0,Trajectory straightening specifies language prediction.,5,Ġspecifies, specifies,1
0,Trajectory straightening specifies language prediction.,6,Ġlanguage, language,1
0,Trajectory straightening specifies language prediction.,7,Ġprediction, prediction,1
0,Trajectory straightening specifies language prediction.,8,.,.,1
1,The cat sat on the mat.,0,The,The,1
1,The cat sat on the mat.,1,Ġcat, cat,1
1,The cat sat on the mat.,2,Ġsat, sat,1
1,The cat sat on the mat.,3,Ġon, on,1
1,The cat sat on the mat.,4,Ġthe, the,1
1,The cat sat on the mat.,5,Ġmat, mat,1
1,The cat sat on the mat.,6,.,.,1
1,The cat sat on the mat.,7,<|endoftext|>,<|endoftext|>,0
1,The cat sat on the mat.,8,<|endoftext|>,<|endoftext|>,0
2,Large language models predict the next token.,0,Large,Large,1
2,Large language models predict the next token.,1,Ġlanguage, language,1
2,Large language models predict the next token.,2,Ġmodels, models,1
2,Large language models predict the next token.,3,Ġpredict, predict,1
2,Large language models predict the next token.,4,Ġthe, the,1
2,Large language models predict the next token.,5,Ġnext, next,1
2,Large language models predict the next token.,6,Ġtoken, token,1
2,Large language models predict the next token.,7,.,.,1
2,Large language models predict the next token.,8,<|endoftext|>,<|endoftext|>,0
3,Geometry organizes predictive representations.,0,Ge,Ge,1
3,Geometry organizes predictive representations.,1,ometry,ometry,1
3,Geometry organizes predictive representations.,2,Ġorgan, organ,1
3,Geometry organizes predictive representations.,3,izes,izes,1
3,Geometry organizes predictive representations.,4,Ġpredictive, predictive,1
3,Geometry organizes predictive representations.,5,Ġrepresentations, representations,1
3,Geometry organizes predictive representations.,6,.,.,1
3,Geometry organizes predictive representations.,7,<|endoftext|>,<|endoftext|>,0
3,Geometry organizes predictive representations.,8,<|endoftext|>,<|endoftext|>,0
4,Curvature decreases across transformer depth.,0,Cur,Cur,1
4,Curvature decreases across transformer depth.,1,v,v,1
4,Curvature decreases across transformer depth.,2,ature,ature,1
4,Curvature decreases across transformer depth.,3,Ġdecreases, decreases,1
4,Curvature decreases across transformer depth.,4,Ġacross, across,1
4,Curvature decreases across transformer depth.,5,Ġtransformer, transformer,1
4,Curvature decreases across transformer depth.,6,Ġdepth, depth,1
4,Curvature decreases across transformer depth.,7,.,.,1
4,Curvature decreases across transformer depth.,8,<|endoftext|>,<|endoftext|>,0
